org_id,icnptso_code,icnptso_code_probability,icnptso_code_source
GB-COH-06280685,B31,0.799,ml_model
GB-COH-06281282,I10,0.713,ml_model
GB-COH-06285507,A11,0.999,ml_model
GB-COH-06285537,F20,0.958,ml_model
GB-COH-06285571,A11,1.0,ml_model
GB-COH-06285637,A30,0.46,ml_model
GB-COH-06285682,H10,0.514,ml_model
GB-COH-06285708,F30,0.964,ml_model
GB-COH-06285878,C12,0.89,ml_model
GB-COH-06285882,L50,1.0,ml_model
GB-COH-06285887,F20,0.859,ml_model
GB-COH-06285897,D30,0.412,ml_model
GB-COH-06286982,G12,0.835,ml_model
GB-COH-06287013,F20,0.381,ml_model
GB-COH-06287221,A90,0.326,ml_model
GB-COH-06289015,F20,0.597,ml_model
GB-COH-06289095,A11,1.0,ml_model
GB-COH-06291892,B21,0.24,ml_model
GB-COH-06292954,H10,0.454,ml_model
GB-COH-06293069,D19,0.738,ml_model
GB-COH-06294356,A21,0.807,ml_model
GB-COH-06294648,A21,0.723,ml_model
GB-COH-06294714,F20,0.503,ml_model
GB-COH-06294737,F20,0.999,ml_model
GB-COH-06294983,C12,0.483,ml_model
GB-COH-06295830,F20,0.852,ml_model
GB-COH-06300868,G14,0.91,ml_model
GB-COH-06304277,F20,0.981,ml_model
GB-COH-06304347,C22,0.775,ml_model
GB-COH-06304584,I10,0.573,ml_model
GB-COH-06304845,F30,1.0,ml_model
GB-COH-06305100,B31,0.524,ml_model
GB-COH-06305112,A11,0.932,ml_model
GB-COH-06305197,F20,0.947,ml_model
GB-COH-06308558,F20,0.466,ml_model
GB-COH-06309046,D13,0.961,ml_model
GB-COH-06309865,A21,0.985,ml_model
GB-COH-06309995,C22,0.448,ml_model
GB-COH-06310046,B31,0.984,ml_model
GB-COH-06311252,C12,0.796,ml_model
GB-COH-06311265,H10,0.737,ml_model
GB-COH-06311333,F20,0.337,ml_model
GB-COH-06311345,D13,0.582,ml_model
GB-COH-06311982,A90,0.315,ml_model
GB-COH-06312668,B31,1.0,ml_model
GB-COH-06315227,H10,0.53,ml_model
